               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026639,             0.02116,          0.00049226,             0.98805,             0.99085,              0.9868,             0.60172,            0.029348,            0.014909,          0.00037356,           0.0071125,           0.0071125,           0.0071125
                  37,            0.026801,            0.020509,          0.00081974,              0.9859,             0.99277,             0.98665,             0.60141,            0.028837,            0.015247,          0.00050685,             0.00703,             0.00703,             0.00703
                  38,            0.026563,             0.02034,          0.00068145,               0.986,             0.99259,             0.98806,             0.61461,            0.028702,            0.015218,           0.0004638,           0.0069475,           0.0069475,           0.0069475
                  39,            0.026794,            0.020748,          0.00073209,             0.98806,             0.99089,             0.98707,             0.60995,            0.028588,            0.015169,          0.00054338,            0.006865,            0.006865,            0.006865
                  40,            0.026061,            0.020806,          0.00061238,             0.98699,             0.99363,             0.98892,             0.60287,            0.029846,            0.015112,          0.00046377,           0.0067825,           0.0067825,           0.0067825
                  41,            0.025697,            0.020685,          0.00076047,             0.98862,             0.98481,             0.98556,               0.607,            0.029227,             0.01573,          0.00042034,              0.0067,              0.0067,              0.0067
                  42,            0.026242,            0.021019,          0.00054333,             0.98615,             0.98936,             0.98779,             0.60411,            0.029475,            0.015446,           0.0003801,           0.0066175,           0.0066175,           0.0066175
                  43,             0.02579,            0.020358,          0.00079455,             0.98837,             0.99101,             0.99026,              0.6194,            0.028096,            0.014945,          0.00043179,            0.006535,            0.006535,            0.006535
                  44,            0.025516,            0.021039,          0.00056432,             0.98704,             0.99422,             0.98899,             0.61465,            0.028273,             0.01511,          0.00040481,           0.0064525,           0.0064525,           0.0064525
                  45,            0.025264,            0.020644,          0.00059175,             0.98799,             0.99456,             0.99169,             0.61956,            0.028083,            0.015141,          0.00039239,             0.00637,             0.00637,             0.00637
                  46,            0.025354,            0.020954,          0.00062889,             0.98742,             0.98903,             0.98763,             0.60404,            0.028981,            0.015624,          0.00039511,           0.0062875,           0.0062875,           0.0062875
                  47,            0.024963,             0.02063,          0.00048705,              0.9861,              0.9918,             0.98727,             0.59966,            0.029403,            0.015491,           0.0003581,            0.006205,            0.006205,            0.006205
                  48,            0.025028,            0.020096,          0.00057787,             0.98837,             0.99443,             0.99104,             0.61137,            0.028855,            0.015215,          0.00039057,           0.0061225,           0.0061225,           0.0061225
                  49,            0.024986,             0.02006,          0.00039679,             0.98804,             0.99206,             0.98968,              0.6179,            0.028719,            0.015319,          0.00035039,             0.00604,             0.00604,             0.00604
                  50,            0.024546,            0.020421,          0.00053965,              0.9877,             0.99474,             0.99143,             0.61625,            0.028878,            0.015489,          0.00038579,           0.0059575,           0.0059575,           0.0059575
                  51,            0.024415,            0.019852,          0.00051786,             0.98738,             0.99217,             0.98994,             0.62166,            0.028187,            0.015175,          0.00042821,            0.005875,            0.005875,            0.005875
                  52,            0.024721,             0.02009,          0.00039137,              0.9878,             0.99284,             0.98892,             0.61106,            0.029016,            0.015341,          0.00031224,           0.0057925,           0.0057925,           0.0057925
                  53,            0.024708,            0.019485,          0.00039191,             0.98883,             0.99193,             0.98793,             0.62251,            0.028274,             0.01516,          0.00032077,             0.00571,             0.00571,             0.00571
